x,y,z,intensity,r,g,b
-35.996,-195.891,-2.54,-1661,43,64,83
-45.546,-247.865,-3.341,-1742,81,104,158
-23.809,-147.423,-1.346,-1686,255,255,255
-23.811,-147.431,-1.327,-1319,255,255,255
-35.448,-167.012,-0.83,-1658,116,126,128
-35.483,-167.01,-0.833,-1558,57,61,64
-35.448,-167.013,-0.786,-1530,55,63,66
-35.483,-167.007,-0.79,-1565,63,73,74
-35.448,-167.013,-0.765,-1460,55,63,66
-35.484,-167.015,-0.767,-1545,25,35,34
-35.448,-167.014,-0.721,-1493,33,37,36
-35.447,-167.006,-0.658,-1483,27,29,28
-23.812,-147.441,-1.289,-1547,255,255,255
-23.815,-147.457,-1.271,-1465,255,255,255
-22.549,-139.975,-0.754,-1340,255,255,255
-22.549,-139.97,-0.52,-1321,255,255,255
-22.549,-139.971,-0.718,-1217,255,255,255
-22.549,-139.972,-0.682,-1188,255,255,255
-21.045,-130.139,-0.061,-1406,255,255,255
-15.777,-95.267,-1.028,-1653,255,253,248
-15.779,-95.276,-1.016,-1514,251,252,255
-22.781,-123.975,-1.642,-1699,48,79,125
-19.453,-105.863,-1.383,-1665,43,72,106
-20.842,-100.17,-0.984,-1568,16,17,19
-20.819,-100.157,-0.983,-1668,20,18,21
-20.615,-100.896,-0.259,-1599,21,22,24
-20.9,-101.053,-0.484,-1648,24,25,29
-20.963,-101.052,-0.482,-1540,25,26,30
-20.903,-101.065,-0.497,-1657,23,24,28
-20.961,-101.345,-0.212,-1535,26,24,27
-20.557,-100.717,-0.27,-1642,21,20,25
-20.505,-100.559,-0.236,-1745,20,22,21
-20.556,-100.71,-0.231,-1575,22,22,22
-20.559,-100.722,-0.205,-1624,23,23,23
-21.093,-99.774,-1.15,-1653,23,23,25
-20.685,-99.918,-1.15,-1637,18,19,23
-20.744,-99.899,-1.15,-1525,19,19,21
-20.725,-99.909,-1.152,-1563,18,19,23
-19.904,-96.824,-1.107,-1570,30,31,35
-19.902,-96.815,-1.195,-1643,28,31,36
-19.921,-96.812,-1.13,-1716,24,24,26
-19.905,-96.831,-1.133,-1657,29,33,36
-19.592,-96.477,-1.054,-1588,17,17,17
-19.593,-96.481,-1.005,-1535,19,19,21
-19.594,-96.49,-1.192,-1691,30,31,35
-19.594,-96.49,-1.13,-1665,19,20,22
-19.904,-96.823,-0.932,-1639,30,31,36
-19.924,-96.822,-0.916,-1660,24,22,23
-19.773,-96.68,-0.855,-1444,26,27,29
-19.774,-96.685,-0.977,-1480,17,18,20
-19.776,-96.692,-0.988,-1655,17,18,20
-19.8,-96.715,-0.992,-1466,18,19,21
-19.8,-96.713,-0.968,-1460,17,18,20
-19.8,-96.715,-0.956,-1478,18,17,22
-19.774,-96.684,-0.952,-1448,18,18,20
-19.776,-96.69,-0.928,-1540,19,19,21
-19.799,-96.708,-0.931,-1529,19,18,23
-19.8,-96.712,-0.918,-1498,19,18,23
-19.8,-96.714,-0.858,-1530,22,23,27
-19.775,-96.689,-0.819,-1458,24,25,27
-19.8,-96.715,-0.822,-1661,24,25,29
-19.671,-96.575,-0.848,-1455,25,25,27
-19.724,-96.636,-0.995,-1525,17,18,20
-19.726,-96.644,-0.958,-1496,18,18,20
-19.749,-96.658,-0.953,-1498,17,17,19
-19.723,-96.63,-0.908,-1519,19,19,21
-19.673,-96.583,-0.996,-1494,18,18,18
-19.698,-96.607,-0.991,-1440,17,17,19
-19.697,-96.601,-0.928,-1486,19,19,21
-19.673,-96.584,-0.91,-1496,20,18,21
-19.725,-96.638,-0.86,-1481,24,24,26
-19.749,-96.659,-0.856,-1475,29,29,31
-19.749,-96.658,-0.832,-1468,26,27,29
-19.724,-96.634,-0.835,-1442,27,28,30
-19.748,-96.654,-0.819,-1493,22,23,25
-19.724,-96.633,-0.811,-1460,20,21,23
-19.723,-96.629,-0.798,-1457,21,22,24
-19.748,-96.654,-0.795,-1525,21,22,24
-19.671,-96.575,-0.835,-1529,25,25,27
-19.698,-96.603,-0.854,-1427,28,28,30
-19.698,-96.605,-0.829,-1437,28,28,30
-19.698,-96.604,-0.815,-1458,26,26,28
-19.699,-96.612,-0.79,-1462,21,21,23
-19.672,-96.58,-0.811,-1480,22,22,24
-19.674,-96.586,-0.798,-1445,22,22,24
-19.593,-96.481,-0.855,-1542,22,22,24
-19.592,-96.478,-0.83,-1501,23,23,25
-19.594,-96.486,-0.992,-1462,19,19,21
-19.593,-96.484,-0.967,-1560,17,17,19
-19.593,-96.481,-0.955,-1468,18,18,18
-19.59,-96.469,-0.929,-1707,19,19,17
-19.591,-96.471,-0.917,-1711,19,19,17
-19.589,-96.464,-0.78,-1709,24,24,26
-19.591,-96.472,-0.754,-1562,26,26,28
-19.569,-96.469,-0.61,-1678,22,22,22
-19.593,-96.479,-0.717,-1653,22,23,25
-15.028,-98.561,-1.103,-1493,47,50,55
-15.047,-98.551,-1.104,-1543,45,45,53
-15.066,-98.545,-1.117,-1481,49,52,61
-15.087,-98.545,-1.101,-1522,52,52,60
-15.066,-98.54,-1.082,-1645,42,42,50
-15.086,-98.54,-1.064,-1557,44,43,49
-15.029,-98.566,-1.08,-1494,55,58,63
-15.085,-98.537,-1.247,-1506,125,149,161
-15.067,-98.547,-1.245,-1509,99,125,140
-15.01,-98.571,-1.126,-1452,60,60,68
-15.065,-98.536,-1.164,-1599,63,72,81
-15.067,-98.55,-1.141,-1455,58,65,75
-15.086,-98.542,-1.138,-1540,58,65,75
-15.047,-98.557,-1.166,-1519,56,69,77
-15.047,-98.555,-1.141,-1522,55,59,70
-15.028,-98.562,-1.127,-1575,54,57,64
-15.009,-98.566,-1.078,-1501,55,58,63
-15.029,-98.569,-1.02,-1580,74,75,79
-15.067,-98.55,-1.059,-1501,43,42,47
-15.086,-98.54,-1.039,-1507,42,40,45
-15.068,-98.553,-1.024,-1427,55,53,56
-15.085,-98.535,-1.002,-1494,59,59,61
-15.028,-98.559,-1.008,-1517,68,67,72
-15.008,-98.562,-1.004,-1475,61,62,66
-14.933,-98.595,-1.262,-1655,105,140,146
-14.913,-98.597,-1.259,-1530,68,101,108
-14.989,-98.567,-1.259,-1586,114,150,164
-14.643,-98.684,-1.258,-1552,52,53,58
-14.623,-98.685,-1.339,-1643,75,75,75
-14.565,-98.701,-1.346,-1620,80,75,81
-14.605,-98.704,-1.324,-1504,98,99,101
-14.586,-98.704,-1.339,-1530,91,89,92
-14.566,-98.707,-1.32,-1517,113,114,118
-14.546,-98.713,-1.34,-1507,73,70,77
-14.528,-98.722,-1.344,-1602,82,79,86
-14.528,-98.722,-1.319,-1473,87,86,92
-14.546,-98.711,-1.328,-1453,111,110,115
-14.604,-98.692,-1.267,-1602,95,107,105
-14.528,-98.723,-1.27,-1547,110,122,122
-14.509,-98.735,-1.262,-1566,119,127,130
-14.911,-98.586,-1.121,-1599,63,63,71
-14.817,-98.627,-1.146,-1517,71,79,82
-14.952,-98.589,-1.245,-1543,98,121,139
-14.99,-98.574,-1.222,-1568,86,115,121
-14.971,-98.58,-1.202,-1529,48,76,77
-14.951,-98.586,-1.183,-1588,35,53,55
-14.951,-98.582,-1.158,-1506,39,40,45
-14.971,-98.578,-1.127,-1525,45,40,47
-14.932,-98.591,-1.163,-1483,45,42,51
-14.836,-98.621,-1.239,-1571,124,115,120
-14.854,-98.612,-1.238,-1611,81,76,83
-14.855,-98.614,-1.225,-1573,84,73,90
-14.854,-98.61,-1.126,-1645,61,69,72
-14.837,-98.627,-1.039,-1539,149,123,122
-14.932,-98.592,-1.065,-1552,47,55,58
-14.951,-98.586,-1.12,-1670,57,52,59
-14.97,-98.577,-1.064,-1524,77,84,90
-14.95,-98.58,-1.082,-1560,71,74,79
-14.951,-98.587,-1.057,-1521,62,71,76
-14.99,-98.571,-1.049,-1504,72,80,83
-14.971,-98.579,-1.039,-1506,57,64,70
-14.97,-98.575,-1.026,-1494,57,61,70
-14.95,-98.576,-1.007,-1496,52,56,65
-14.932,-98.592,-1.04,-1462,51,60,65
-14.913,-98.597,-1.045,-1537,53,58,61
-14.932,-98.589,-1.027,-1496,55,59,68
-14.932,-98.589,-1.003,-1555,54,54,64
-14.911,-98.584,-1.007,-1542,54,44,52
-14.874,-98.606,-1.104,-1548,65,74,71
-14.816,-98.62,-1.086,-1665,106,94,98
-14.854,-98.612,-1.065,-1537,73,65,62
-14.836,-98.624,-1.063,-1529,84,69,66
-14.854,-98.612,-1.039,-1509,85,66,70
-14.875,-98.612,-1.004,-1503,68,60,83
-14.854,-98.611,-1.002,-1532,85,72,79
-14.835,-98.619,-1.028,-1581,139,113,112
-14.816,-98.623,-1.001,-1630,187,198,184
-14.663,-98.678,-1.069,-1665,55,52,59
-14.644,-98.687,-1.246,-1537,42,39,46
-14.645,-98.694,-1.17,-1639,84,89,92
-14.508,-98.728,-1.225,-1512,111,125,125
-14.605,-98.699,-1.244,-1553,75,87,85
-14.624,-98.688,-1.225,-1670,62,57,63
-14.605,-98.701,-1.198,-1539,61,59,64
-14.586,-98.706,-1.218,-1562,49,53,56
-14.547,-98.715,-1.205,-1511,53,61,63
-14.585,-98.701,-1.181,-1594,66,67,71
-14.605,-98.701,-1.186,-1565,65,64,69
-14.624,-98.691,-1.163,-1566,80,88,91
-14.584,-98.693,-1.169,-1601,66,67,71
-14.624,-98.69,-1.15,-1511,79,89,91
-14.604,-98.696,-1.141,-1532,82,90,93
-14.567,-98.718,-1.148,-1506,77,78,83
-14.546,-98.708,-1.168,-1586,61,62,66
